epoch,lr,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,train_precision,val_precision,train_recall,val_recall
1,0.0003,0.8049270495191797,0.8047507703304291,0.09258463758497366,0.1615050208626431,0.048539316296454485,0.08784632141799831,0.0494387255806556,0.09081751735155126,0.7273799604939452,0.7286376030750916
2,0.0003,0.7507547093676282,0.7619605958461761,0.1990727270427288,0.20764363407402378,0.11053901511294473,0.11584952525151945,0.11219040965024653,0.12002132436620908,0.8824865410498091,0.7692105522521209
3,0.0003,0.7172561264657354,0.7159060835838318,0.36010901304264437,0.377383887226726,0.2195932631539147,0.23257743113482418,0.2273283620973759,0.24274421230950097,0.8658379046299716,0.8473997174677724
4,0.0003,0.6917109884224929,0.6815066933631897,0.4805393793514124,0.6078335034078376,0.3162565536883147,0.43660977684479824,0.3322845750202474,0.492950263598943,0.8676630028413463,0.7925358914551094
5,0.0003,0.6749792021590394,0.6828064918518066,0.5750874305698552,0.5328927869680751,0.40359488919370334,0.3632268877384008,0.43818116804556195,0.40014836795262115,0.8364204168264124,0.7974309274286943
6,0.0003,0.6609206044828737,0.636803388595581,0.6440578666695027,0.7210291901916119,0.4749891981655374,0.5637573466588397,0.5166792187863034,0.7268175445624785,0.854792775237966,0.7153323039522601
7,0.0003,0.6509699953066839,0.6435868740081787,0.6705685003568423,0.594672456707134,0.5044024461108771,0.42315576859313514,0.5529012102278168,0.4388051769414408,0.8518594674418091,0.9222707710503228
8,0.0003,0.643178835317686,0.6112843155860901,0.692359105069397,0.7507683533475253,0.5294718968743773,0.6009840971923807,0.5808701933129577,0.7249946455344598,0.8568104076711848,0.7784421301620361
9,0.0003,0.6361701434308832,0.6292199790477753,0.6940675169014877,0.6559182909548333,0.5314727414197786,0.48800477421931815,0.5748069705588132,0.5529833419742685,0.8757720959832408,0.8059397483492211
10,0.0003,0.6284174237932477,0.6009389758110046,0.7110160051142977,0.743436735584229,0.5516096459967004,0.5916429014260157,0.602036847359644,0.7070293978189585,0.8681698778173647,0.7837971024015954
11,0.0003,0.6219030897338669,0.6067901253700256,0.7058374294795353,0.7157438458272123,0.5454008990506427,0.5573217177131617,0.5877709818005232,0.6456880152188635,0.8832590038601466,0.8028516048491071
12,0.0003,0.6163650805299933,0.5922169387340546,0.7363200475859486,0.7625395820139704,0.5826792188792327,0.6162133114973218,0.645933081831989,0.7359493902998882,0.8561188059590034,0.7911232300667593
13,0.0003,0.6101193358371784,0.5921132564544678,0.7528370150776293,0.7599748862031455,0.6036396398699286,0.6128705602390794,0.6556340569652118,0.7276306693517696,0.8838791167664779,0.7953283616413827
14,0.0003,0.6027421757772371,0.5822736322879791,0.7525365096212532,0.7652662554656328,0.6032533340056215,0.6197824096516348,0.6493866862058909,0.7746549983171408,0.894643374552534,0.7561023686718499
15,0.0003,0.596255678635139,0.5697040259838104,0.7639588903875218,0.7633173315676605,0.618069160035504,0.6172297478182747,0.6606348729981406,0.7692769677355547,0.9055949286609285,0.7574493248793465
16,0.0003,0.593138245793132,0.5748958885669708,0.7473781498483892,0.7519595358097767,0.596651056149105,0.6025121439453875,0.6312156478208376,0.8280793236944662,0.9159380675116623,0.6886560005257437
17,0.0003,0.5907435920331385,0.5747438371181488,0.7366554182833815,0.7232438545004546,0.5830993609696248,0.5664698439477929,0.6444422603042912,0.6126861756723736,0.8596647312230886,0.8824862840435355
18,0.0003,0.5809434156913262,0.5646683871746063,0.7625476038263569,0.7705399969055013,0.6162237886356388,0.6267304304053398,0.656148545124452,0.8082083092903173,0.9101318203947206,0.7362265514636696
19,0.0003,0.5734712380867499,0.5614693760871887,0.7961125817438215,0.7555692968610555,0.6612849089302704,0.607160603603942,0.7106084473037443,0.748565164119511,0.9050078746062786,0.7627057393476255
20,0.0003,0.569507677059669,0.5516266822814941,0.7614314347428531,0.7560237785360449,0.6147672854790905,0.6077477732222233,0.6522359498870088,0.813543283243191,0.9145413410119372,0.706100726042345
21,0.0003,0.5621163504464286,0.5414033234119415,0.8063886867006423,0.7727673257378186,0.6755873354380761,0.6296828156098986,0.7262905521840318,0.729794440551352,0.9063437894441675,0.821117645126377
22,0.0003,0.5583518310026689,0.5358009040355682,0.7719349472301178,0.781098908402183,0.6285782218857578,0.6408222240397916,0.6547269907063664,0.7901707677827786,0.9402581357693119,0.7722329905713814
23,0.0003,0.5505998405543241,0.5318676829338074,0.8236120575789008,0.768967465891698,0.7001194315914652,0.6246524316668526,0.7484880689333719,0.7560642621286017,0.915498489708517,0.7823187358323919
24,0.0003,0.5452036718269447,0.5299076735973358,0.8180882675053491,0.7691368339867971,0.6921737427706466,0.6248759855883179,0.7324773358002047,0.752712520049139,0.9263599266219978,0.7862938992740279
25,0.0003,0.540607028193288,0.5215885639190674,0.8208553475891339,0.7617786428833924,0.6961447400968446,0.6152200804041813,0.739819140466589,0.7405236056828152,0.921827914724772,0.7842898912579965
26,0.0003,0.5348337865495062,0.5228094458580017,0.8270879491378552,0.7627134968537687,0.7051576872536346,0.6164404888555447,0.7493568094714264,0.7457387701290938,0.9228116413390977,0.7804789907684943
27,0.0003,0.5313558206929789,0.5084964632987976,0.8240296427349503,0.7688110324264228,0.7007231412290065,0.6244460051828185,0.7442826345861226,0.703788623212222,0.9229165887763185,0.8470711915635051
28,0.0003,0.5256160884708553,0.5144563615322113,0.8101563220418565,0.766751324742143,0.6808930761662366,0.6217329400997607,0.7088981504869559,0.733319339071061,0.9451621654489887,0.803377246295935
29,0.00015,0.5202753272923556,0.4988238662481308,0.8308159240900085,0.780287031185001,0.7105946285176569,0.6397300439816896,0.7494058363417757,0.7350429832714525,0.9320692590479283,0.8314662111108014
30,0.00015,0.5154549200813492,0.5050426125526428,0.8345416062530275,0.7578381104480528,0.7160629763624347,0.6100960887807254,0.751267740870784,0.7760104661572071,0.9385777477882798,0.7404973882191463
31,0.00015,0.5120000119333143,0.49752403795719147,0.8513518135335324,0.7642111041152445,0.7411771711863463,0.6183993938286473,0.7821971184816423,0.7513173766745758,0.9339204982460152,0.7775551102205139
32,0.00015,0.5087148307205794,0.497427374124527,0.8501686961585294,0.765299453220933,0.7393855892757594,0.6198259612157876,0.7839995577807078,0.7433420042116489,0.9285366902976068,0.7885935806039001
33,0.00015,0.5077101425691084,0.4915466159582138,0.8395882258588633,0.7484623876360592,0.723526117683772,0.5980342741936497,0.7495061791853792,0.7197233932850932,0.9542819745699369,0.7795919708269721
34,0.00015,0.5038825250291205,0.48769181966781616,0.8618552423433062,0.7609302325581748,0.7572457163689574,0.6141141141142061,0.8004528047400146,0.6910636700102745,0.9334606634272455,0.8465126975262504
35,0.00015,0.5016117939701328,0.48918305337429047,0.845285899180307,0.7461399742379139,0.7320304641471668,0.5950743774485399,0.7587316244917591,0.7817605988628151,0.9541308460227422,0.7136239692500694
36,7.5e-05,0.4991761132494196,0.4859682321548462,0.84962219692802,0.7542693463269216,0.7385592756216189,0.6054834920397878,0.7712050507823396,0.716787975619943,0.9457915260101604,0.7958868556786373
37,7.5e-05,0.4968364153589521,0.48801134526729584,0.8688139544924715,0.7503795129034799,0.7680557570020865,0.6004859240480641,0.8057548771502863,0.7537875020720193,0.9425811770437182,0.7470022011236417
38,7.5e-05,0.49633200369872055,0.48754893243312836,0.8669762266492685,0.7506192316794588,0.7651880278604737,0.6007930093949893,0.7989320334745353,0.722060341164414,0.947689975861235,0.78153027366215
39,7.5e-05,0.4928119337403929,0.48668214678764343,0.8625315683316724,0.7582779232991205,0.7582905549885068,0.6106663781913646,0.7874490324876953,0.7754919806299497,0.953441314510014,0.7418114918362161
40,7.5e-05,0.49117337728475596,0.47934959828853607,0.8783901327349009,0.7540241858043075,0.7831512171667597,0.6051675941166745,0.820809389503473,0.7471776014451497,0.9446590770900231,0.7609974046454349
41,7.5e-05,0.49012936709763166,0.48144756257534027,0.8655408783182711,0.7567351889683739,0.7629546642766626,0.6086677449999721,0.7911216437040813,0.7358537418134103,0.9554148467531538,0.778836361247157
42,7.5e-05,0.48921839912216386,0.48191797733306885,0.8798702431197513,0.7510439164867209,0.7855074268987804,0.6013373299516817,0.8225655239881121,0.7319902700680684,0.9457572150308898,0.7711160024968721
