epoch,lr,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,train_precision,val_precision,train_recall,val_recall,macro_excludes_background,train_dice_class_0,val_dice_class_0,train_iou_class_0,val_iou_class_0,train_precision_class_0,val_precision_class_0,train_recall_class_0,val_recall_class_0,train_dice_class_1,val_dice_class_1,train_iou_class_1,val_iou_class_1,train_precision_class_1,val_precision_class_1,train_recall_class_1,val_recall_class_1,train_dice_class_2,val_dice_class_2,train_iou_class_2,val_iou_class_2,train_precision_class_2,val_precision_class_2,train_recall_class_2,val_recall_class_2,train_dice_class_3,val_dice_class_3,train_iou_class_3,val_iou_class_3,train_precision_class_3,val_precision_class_3,train_recall_class_3,val_recall_class_3
1,0.0003,1.161629969733102,1.1542554457982381,0.041492266226333605,0.03574970407996563,0.021372101996688944,0.018887696374176383,0.026875818514518455,0.02835645311504338,0.17157853382603963,0.32824478166914156,True,0.7575646622987342,0.04641686257576484,0.6097417220121639,0.023759860374800663,0.9305815626398548,0.9001736829046398,0.6387972898570835,0.02382263040449662,0.07070266882760382,0.10724911223989689,0.036646849443698344,0.05666308912252915,0.04979710983516565,0.05671290623008676,0.12186222139521374,0.9847343450074246,0.047253298525708774,0.0,0.024198375800626535,0.0,0.02752219405955199,nan,0.1669233085293991,0.0,0.006520831325688221,0.0,0.003271080745741955,0.0,0.0033081516488377236,0.0,0.22595007155350613,0.0
2,0.0003,1.1087315048490252,1.1222999254862467,0.08085912291665374,0.006185260181137382,0.043149026159688464,0.0031039045668426798,0.05242427316882275,0.09942343297383693,0.23279306326682206,0.003801112797881031,True,0.8278236381864291,0.9604911202290652,0.7062278895520764,0.9239854886479836,0.9483415801861153,0.9301775014456853,0.7344834010999897,0.9928470823078009,0.08319741794646054,0.008084229362048856,0.043404270593859574,0.004058519683018384,0.06217178220945641,0.03433301669154566,0.12571120730393362,0.004581507370250987,0.15306727891858427,0.0025350432448553533,0.08287647794174134,0.001269130272489735,0.0918546796580625,0.25,0.45884436333266315,0.001273980815347722,0.006312671884916438,0.007936507936507936,0.0031663299434644574,0.00398406374501992,0.003246357638949329,0.013937282229965157,0.11382361916386939,0.005547850208044383
3,0.0003,1.0878000906535557,1.0563271522521973,0.07547849635481686,0.03988942247423406,0.04000026675383398,0.02055736469527591,0.04605386411182569,0.1290393620814029,0.2615441447077528,0.03754835590373703,True,0.8068705242060722,0.9585206004498679,0.6762640103825844,0.92034523281392,0.964131184732146,0.9351596699893293,0.6937173992460384,0.9830785781277873,0.09035682125467842,0.07748875908727991,0.047316075725751486,0.04030601092896175,0.06100321012894317,0.17106809326488961,0.17415879907432058,0.050088732751439644,0.13168157269920158,0.031085206772134333,0.07048133271877263,0.015787989850577954,0.07488313819266458,0.20973782771535582,0.5452524728633349,0.016786570743405275,0.00439709511057057,0.011094301563287948,0.0022033918169778372,0.005578093306288032,0.002275244013869307,0.006312165263963275,0.06522116218560277,0.04576976421636616
4,0.0003,1.0661924498421804,1.0455803155899048,0.0957253129084648,0.10235750766427447,0.051510129810508176,0.0551591781031712,0.059661202081100706,0.1810826067587004,0.24770824108556164,0.08738237941125966,True,0.8136211312805419,0.959167414782043,0.6858021098763671,0.921538610920014,0.9554561847978614,0.942586032201522,0.7084530658951053,0.9763426221309259,0.13993047822465365,0.16036517095857378,0.0752286280628354,0.08717228464419476,0.08901060083903026,0.25012473613509884,0.32699026989352825,0.11801455941472601,0.14513287940609407,0.13544767574994276,0.07824435389184337,0.07264353699723672,0.08885890932336164,0.2868574199806014,0.3957763823264832,0.08865407673860912,0.0021125810946466296,0.011259676284306826,0.001057407476845776,0.005661712668082095,0.0011140960809102403,0.006265664160401002,0.020358071036673406,0.05547850208044383
5,0.0003,1.0387333222797939,1.0036447286605834,0.11374471371804219,0.18988333634105647,0.06212221041553706,0.11059866478331905,0.07140642302526522,0.16976685267969446,0.29309761632863374,0.22351648861348664,True,0.8048532489976298,0.9412692521803674,0.6734346625823138,0.8890544211725528,0.9642037719323299,0.9618914889849725,0.6907031926101517,0.9215127063878313,0.1603418295842405,0.2793698585945481,0.08715849072548273,0.1623648521967377,0.09607731718677225,0.22212247515229241,0.4842456652690984,0.37637173590235773,0.17864157119476268,0.28836076463207616,0.09808150244866784,0.16847052735975163,0.11693588346050937,0.28406281808928313,0.37822806303223516,0.2927907673860911,0.0022507403751233957,0.0019193857965451055,0.001126638072460617,0.0009606147934678194,0.0012060684285139967,0.003115264797507788,0.01681912068456772,0.0013869625520110957
6,0.0003,1.014609956741333,0.9765423933664957,0.12847894715581415,0.14159917362765415,0.07100699286920846,0.07956517442811499,0.08256810429873952,0.09144556823208316,0.2993968417722867,0.3382028522993057,True,0.8338271512299442,0.8942264261232298,0.7150116315170334,0.808688548224326,0.9665329454859938,0.9709556975658792,0.7331632186594856,0.8287359932060414,0.1827479960686557,0.17350050830227043,0.10056282544925448,0.09499072356215213,0.11268620175163593,0.12182176246220523,0.48313111651554724,0.30132918039911627,0.20000698150337948,0.251297012580692,0.11111542069781366,0.14370479972219286,0.13356275150282498,0.15251494223404427,0.3980046367449009,0.7132793764988009,0.0026818638954073082,0.0,0.001342732460557234,0.0,0.0014553596417576267,0.0,0.017054772056411937,0.0
7,0.0003,0.9991647754396711,1.0764066696166992,0.13521753419724833,0.12493878616920544,0.0751511180776904,0.06945462397645961,0.08869841576770598,0.11453153225016538,0.2960699402856163,0.39607344583208515,True,0.8563469121090633,0.4269645128586453,0.7487820574054429,0.2714271333029868,0.9660644397361272,0.999456059696441,0.7690092648551596,0.2714672345808988,0.19579354709944727,0.13893833537407266,0.10852058908484534,0.0746554173969293,0.12148439649953217,0.07478048496830843,0.5042021605672679,0.9780884430118431,0.20743181091025437,0.23587802313354364,0.11571766818844803,0.13370845453244956,0.14316767936070884,0.2688141117821877,0.3763776384895186,0.21013189448441247,0.0024272445820433435,0.0,0.0012150969597778108,0.0,0.0014431714428769181,0.0,0.007630021800062286,0.0
8,0.0003,0.9877598524093628,0.9465187231699626,0.13832701981210935,0.1823746702767457,0.07690332512975516,0.10651075991239593,0.09271459896265509,0.12780718868898147,0.30308913235219265,0.34729334709770115,True,0.8529456629447667,0.8658820669431909,0.7435965632931436,0.7634850324686808,0.9688682178886876,0.9736220601581036,0.7617984639151238,0.7796111202918076,0.20379372571609952,0.2155042801584212,0.11345786318297249,0.12076480641688114,0.12397741239743473,0.13422245552535467,0.5721283958999311,0.5463764441708014,0.20451176629699758,0.3316197306718158,0.11390315038445778,0.19876747332030664,0.14828528953757927,0.24919911054158972,0.3294207861692765,0.49550359712230213,0.006675567423230975,0.0,0.003348961821835231,0.0,0.00588109495295124,0.0,0.007718214987370194,0.0
9,0.0003,0.9658847434180123,1.1082380374272665,0.15850392719464654,0.13753970308065552,0.08970945085889225,0.07890302732316329,0.11370003219495424,0.10750575163323291,0.29208587482154197,0.4344113270102472,True,0.8781233731092056,0.11535657308683506,0.7827272197860701,0.06120869944919831,0.9658868171365456,0.9998927345537757,0.804980382170411,0.06120910136546747,0.22584254119281122,0.1083601219486903,0.12729565804415743,0.05728369506584862,0.1430465009332648,0.057471087361596625,0.5361948260355864,0.9461446524935714,0.24425940432555457,0.3042589872932763,0.13912044007373733,0.17942538690364124,0.19218379842641115,0.2650461675381021,0.3350460760210128,0.35708932853717024,0.005409836065573771,0.0,0.002712254458781951,0.0,0.005869797225186766,0.0,0.005016722408026756,0.0
10,0.0003,0.9576450007302421,0.9122590144475301,0.16908288513282574,0.18707081118698773,0.09675812090794829,0.11084990438330844,0.1294036914883941,0.12448281863096555,0.26518103314204605,0.3852597470030205,True,0.8976208845814597,0.8637838350735184,0.8142578828161671,0.7602284334067798,0.9582091161096533,0.9722575565672817,0.844239059328715,0.777085273591441,0.22621770454885334,0.19233074798559854,0.12753408641465594,0.10639708993847856,0.1516987821388226,0.12067191213456702,0.4446360799163144,0.4735250443663757,0.2767354182035757,0.36888168557536466,0.1605878871572302,0.22615262321144675,0.2298076325878414,0.25277654375832964,0.3477469626287999,0.6822541966426858,0.00429553264604811,0.0,0.002152389151958674,0.0,0.00670465973851827,0.0,0.0031600568810238585,0.0
