epoch,lr,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,train_precision,val_precision,train_recall,val_recall,macro_excludes_background,train_dice_class_0,val_dice_class_0,train_iou_class_0,val_iou_class_0,train_precision_class_0,val_precision_class_0,train_recall_class_0,val_recall_class_0,train_dice_class_1,val_dice_class_1,train_iou_class_1,val_iou_class_1,train_precision_class_1,val_precision_class_1,train_recall_class_1,val_recall_class_1,train_dice_class_2,val_dice_class_2,train_iou_class_2,val_iou_class_2,train_precision_class_2,val_precision_class_2,train_recall_class_2,val_recall_class_2,train_dice_class_3,val_dice_class_3,train_iou_class_3,val_iou_class_3,train_precision_class_3,val_precision_class_3,train_recall_class_3,val_recall_class_3
1,0.0003,1.2057690177645002,1.1620992104212442,0.05826501348512126,0.04357754839279032,0.03037257581953592,0.02247066982143431,0.03444766975339373,0.05128047648092152,0.25365516643157776,0.12541152879316045,True,0.6854417088886948,0.9123614936091249,0.5214235941635073,0.838846260267693,0.9445952299670712,0.9367936428141524,0.5378738445829498,0.8891713625016826,0.08798853921095237,0.06045194335643266,0.046018834622801534,0.031168056470354307,0.05399202183863722,0.09036860879904875,0.23758736063043456,0.045416681757270656,0.08044101318302611,0.06515452423260513,0.041905986601856904,0.03367427789382698,0.046119002474131254,0.060884287295695776,0.3144750254841998,0.0700689448441247,0.006365488061385292,0.005126177589333188,0.0031929062339493093,0.0025696751001216497,0.003231984947412724,0.0025885333480200473,0.20890311318009894,0.260748959778086
2,0.0003,1.163417819568089,1.1485161542892457,0.07580518401652522,0.06971430915861172,0.040118402191109535,0.03684664057836204,0.053432742299558224,0.07256316440027155,0.201183224412551,0.10142294448120681,True,0.8202635624159355,0.9325284024537125,0.6952939116602355,0.8735861493619519,0.9487185185596737,0.9368466745014182,0.722445594919607,0.9282497567723443,0.11964552125334069,0.082766482052807,0.06362923725588687,0.04316974498830281,0.09639047336305964,0.13104720053360536,0.15768949664033952,0.06048314077722647,0.10372519001960627,0.12521682345978818,0.054699450456064815,0.06679002938935452,0.061852002953602145,0.08603718556325192,0.32112067079201423,0.229916067146283,0.004044840776628736,0.0011596219632399839,0.0020265188613769205,0.0005801473574287869,0.002055750582012918,0.0006051071039574004,0.1247395058052992,0.013869625520110958
3,0.0003,1.1443193163190568,1.1133397579193116,0.0874802622437264,0.09198129924993154,0.04681638264655738,0.04934739901648683,0.05888224845289911,0.0931929486037389,0.23088733514653148,0.12106338219304151,True,0.8212379137538729,0.9374901008394488,0.6966952223320808,0.882335403726708,0.9528656646641911,0.9422418948841621,0.7215621591597894,0.9327859935890771,0.15129546452592085,0.13973357315496598,0.08183863977329554,0.07511481750060431,0.11227360043907794,0.1842409509975395,0.2318919301891694,0.11254572453007859,0.1071693472454411,0.13413132251582655,0.0566185607198837,0.07188679682252946,0.062333841990438836,0.09423479765627372,0.3817664077687625,0.23261390887290168,0.0039759749598172744,0.002079002079002079,0.0019919474464929012,0.001040582726326743,0.002039302929180571,0.001103097157403479,0.0790036674816626,0.018030513176144243
4,0.0003,1.1148380620138987,1.093002231915792,0.11982040706962449,0.13873525158123712,0.06608062752952712,0.07834270329767827,0.07740039749722223,0.09975147305444414,0.2948929578613761,0.2281181003912961,True,0.8314153038018367,0.9080216029760597,0.7114720109776699,0.8315380647188321,0.9730703611215462,0.9650717585463505,0.7257622159937027,0.8573400032612752,0.2176950705157629,0.2710386860293881,0.12214243865597085,0.15676388120387696,0.14787790160186912,0.19271629471109752,0.4124005643864641,0.4566114954184926,0.139307167523184,0.14516706871432325,0.07486843883724142,0.07826422868915786,0.08305541641401493,0.10653812445223489,0.43166539637409973,0.22774280575539568,0.0024589831699265456,0.0,0.001231005095369076,0.0,0.0012678744757826687,0.0,0.04061291282356441,0.0
5,0.0003,1.0947264773505074,1.0618082205454509,0.11627738864662644,0.15687603801160013,0.06435999461566928,0.08916215119464317,0.0727010889556035,0.11143897483197725,0.30698429869197746,0.2678909604922632,True,0.821693564219672,0.915049163378254,0.6973513334631913,0.8434015003181882,0.9711208504737397,0.9665027149431444,0.712119119883593,0.8687971475880243,0.2322811698306824,0.2683398572415381,0.13140164932702209,0.15496104034252586,0.14931837761603017,0.1966953028743101,0.5226967288446351,0.42207815725616604,0.11327089126298844,0.20228825679326234,0.06003558790631724,0.1125254132414037,0.06706165325976578,0.13762162162162161,0.36428073874654066,0.3815947242206235,0.003280104846208477,0.0,0.0016427466136685318,0.0,0.0017232359910145552,0.0,0.03397542848475656,0.0
6,0.0003,1.0750410420554024,1.049869966506958,0.1285009864354215,0.1660730921926879,0.07107696832782279,0.09491396920345868,0.08226017141572747,0.11989912144999482,0.29686529985556614,0.28016742569584424,True,0.8535184283598448,0.9037166872951162,0.7444676386196093,0.8243459303100731,0.9706765219238093,0.9701255730115933,0.761595823154353,0.8458171956754178,0.20478050453282695,0.26719241421396045,0.11406989788707513,0.15419623990897763,0.1285942253401911,0.18034573659130082,0.5024732369978745,0.515374307341277,0.1790136759220887,0.23063986546007847,0.0983058870652065,0.13035213180048882,0.11725075799319774,0.17912675705933573,0.3782718730570175,0.3237410071942446,0.0017087788513488044,0.0003869969040247678,0.0008551200311867305,0.00019353590090961874,0.0009355309137935779,0.00022487069934787497,0.00985078951180646,0.0013869625520110957
7,0.0003,1.0601891381399973,1.0789240916570029,0.13668055804324084,0.1122448363489044,0.07605383895846222,0.06165713545089659,0.08832732705903927,0.06936686740015341,0.311409170939434,0.3773615881479018,True,0.8588006012848691,0.8733092851984514,0.7525421081116825,0.7751100401606426,0.9755128774900185,0.9731134942104669,0.7670314521829595,0.7920729124829139,0.21617613171377933,0.12675944670257355,0.12118692633116686,0.0676685364725003,0.13462880873666344,0.0895044449918266,0.5482803405647217,0.21714171888015646,0.19060331981217443,0.20997506234413965,0.10534081437155547,0.11730286988018947,0.12855455453631756,0.11859615720863365,0.3684329611612465,0.9149430455635491,0.0032622226037687255,0.0,0.001633776172664345,0.0,0.0017986179041368212,0.0,0.01751421109233369,0.0
8,0.0003,1.0500218118940081,1.1269375165303548,0.1420443208117247,0.1234628228829067,0.07947594042104776,0.06875039366134482,0.09538838079437949,0.08217285196833489,0.2802133664144379,0.43687881265738193,True,0.883584453349128,0.37087281706588693,0.7914476433078952,0.2276512361655721,0.9696832703777671,1.0,0.8115283187682308,0.2276512361655721,0.224847666703883,0.12842872364478056,0.12666387131203782,0.06862080288755464,0.14771420612152966,0.06897204061014502,0.470570186411635,0.9309152149505632,0.2000837919136096,0.24195974500393955,0.11116283692246533,0.1376303780964798,0.13776204737271985,0.17754651529485965,0.36537436602767986,0.37972122302158273,0.0012015038176814853,0.0,0.0006011130286401272,0.0,0.0006888888888888888,0.0,0.004695546803998789,0.0
9,0.0003,1.0374471051352365,1.0019571781158447,0.13399681871196809,0.17050246091991586,0.07447181983961634,0.09775840876731795,0.08808934909510525,0.12122423466317415,0.28693673142409415,0.2878517827873082,True,0.8579196653974525,0.9168826563099105,0.7511902966931086,0.8465219965790305,0.9660089922895448,0.9673037233377024,0.7715849626013872,0.8714576039695628,0.18630885768432656,0.26104768637317494,0.10272358580659564,0.1501177946787534,0.11694991239640831,0.1884498235970136,0.4578348772611902,0.4246314874506537,0.21423387727195298,0.2504596963865726,0.11996748876872859,0.14315743162320044,0.146436387068784,0.17522288039250883,0.39893279567556295,0.438923860911271,0.0014477211796246649,0.0,0.0007243849435248034,0.0,0.0008817478201234447,0.0,0.0040425213355292705,0.0
10,0.0003,1.0246186069079808,0.996931517124176,0.13384210608728517,0.1823310903731997,0.0746226186424958,0.10535804657457064,0.08941143807747333,0.12813278350763485,0.26839901032609587,0.32141248074463036,True,0.8863672402296421,0.9033295425642944,0.7959241791813126,0.8237019028273167,0.9660891465492958,0.9697919255983991,0.8187996945467486,0.8453925732665173,0.2416620809875821,0.2345951986399171,0.13743779189117028,0.13288464971840053,0.16481180486422273,0.15931040297839497,0.4527975389348202,0.44478649813480137,0.15477846532674566,0.3025666118055247,0.0838806953085735,0.17824947589098533,0.09993934466426627,0.21513062179771017,0.3429796355841372,0.509742206235012,0.00508577194752775,0.009831460674157303,0.0025493687277436065,0.004940014114326041,0.0034831647039310003,0.00995732574679943,0.009419856459330144,0.009708737864077669
