epoch,lr,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,train_precision,val_precision,train_recall,val_recall
1,0.0003,1.1266923223223004,1.148724619547526,0.06028946348857438,0.0004946917950764164,0.03247134972150223,0.0002475324197761017,0.04440551128665036,0.0002475324197761017,0.21770285849049403,0.33333333332413545
2,0.0003,1.0740379810333252,1.1264640013376872,0.10333601845459724,0.011363956197198554,0.058622690630881207,0.005766235993883025,0.10014532514209805,0.10805614383190601,0.2283116936836271,0.047457377255168735
3,0.0003,1.0384082692010062,1.0756961504618328,0.12153352008486032,0.10542780433019845,0.06915102083994827,0.05932756678139863,0.1054930887198079,0.1846655070591733,0.2526156156539039,0.09685292699520437
4,0.0003,1.0114690031324114,1.0139209906260171,0.1487382434587301,0.1516116860484979,0.08680416314180159,0.08781851240900952,0.1263268640124252,0.18484881807617198,0.2819911505923268,0.18042733713630923
5,0.0003,0.9885061281067985,0.9654442032178243,0.15155502792071032,0.19298660612103039,0.08762128092094967,0.11474847400249091,0.12230473219159982,0.1910954470306731,0.29148031423262627,0.274648936764201
6,0.0003,0.9692811352866036,0.935842219988505,0.17131646616770138,0.19844804229368104,0.1012359781065076,0.11876201147728743,0.1357439371530481,0.16823401383371964,0.29625852484574616,0.31043156900140373
7,0.0003,0.9553261654717582,0.935202169418335,0.18133824449306427,0.213416505618635,0.1073643003956994,0.12836538432642877,0.14334042775327566,0.21162684339674084,0.3035132815566074,0.27189431355610977
8,0.0003,0.9417350496564593,0.9223427176475525,0.1997461283229194,0.22489911244542343,0.11939769363333,0.13566710052956477,0.16389848228019435,0.22469548971678238,0.3019942193445508,0.2807336009500287
9,0.0003,0.9311202628271921,0.9127983649571737,0.19171855944540375,0.18419142763427104,0.11594707977783886,0.10889921336701945,0.15063382429098948,0.13791374346134944,0.3443303661626969,0.35758339691663077
10,0.0003,0.9179805244718279,0.9001679579416911,0.20672814994288985,0.22363725628255915,0.12498580796981791,0.13480944590042773,0.1685568961504145,0.17862253343303156,0.31679132482374656,0.3483516848575096
11,0.0003,0.9047138384410314,0.8945374091466268,0.20324757967010176,0.20334530926662459,0.12125465758483896,0.11792943204498281,0.1639836109710434,0.1575988795626825,0.3364888207743368,0.3775424172415111
12,0.0003,0.8975595201764788,0.8865313529968262,0.21591800441405185,0.25694620203314866,0.1293991024664275,0.1535383498469235,0.17231835600405607,0.2007821617603082,0.34908423438814307,0.3937155322626939
13,0.0003,0.8909732580184937,0.8717646996180216,0.21355836726586352,0.23654232889491442,0.13026175245731297,0.1422088171830088,0.17598964992759017,0.22966322768142813,0.3229861317198066,0.3037997017327529
14,0.0003,0.8763638496398926,0.8767123460769654,0.2239626053539809,0.2107768523847911,0.1370698362990131,0.12525256547077593,0.18111360623080613,0.17267635793677283,0.35112866773481993,0.3676546379063224
15,0.0003,0.8666827644620623,0.8600178321202596,0.2465651142087779,0.2666769182966631,0.15213636931112062,0.16091066040835453,0.21952892588469738,0.2337874732330989,0.36247340567455605,0.42183362981997236
16,0.0003,0.8567928007670811,0.8574930429458618,0.25624449822665063,0.25891057661630934,0.1588337816239384,0.1566091142574598,0.20608428900157422,0.21361229750065616,0.4187225794706687,0.39756344755698764
17,0.0003,0.8524278538567679,0.839807407061259,0.2557936104875648,0.2551967140444543,0.15829911186125134,0.15384508749796028,0.21822240523614594,0.19595580745454566,0.4225059763708139,0.43019718002076834
18,0.0003,0.844815845148904,0.8338397224744161,0.25045000127667205,0.23170509369638773,0.15596305134342384,0.133953418845736,0.21059548941265618,0.2652897286749158,0.40662123148882584,0.3337652045836788
19,0.0003,0.8350144011633737,0.831199828783671,0.27560807550152877,0.26084300286618634,0.17218568197959608,0.15340217425726788,0.24056861941523625,0.2967199451149816,0.44932005423204036,0.3215551042494665
20,0.0003,0.8319029092788697,0.8476866006851196,0.2897684820257386,0.17504837044386687,0.18041549448128244,0.09844651986959481,0.24868101805885395,0.12250458307424321,0.4685439682967762,0.4611330555587683
21,0.0003,0.8255631259509495,0.8195314327875773,0.2696952616810283,0.2150384291661527,0.17053329920098506,0.12577829380909764,0.22919715862518883,0.282284042988598,0.4781778033460282,0.28488362977767595
22,0.0003,0.8120809997831072,0.8133462746938069,0.30807850652079677,0.3054122383152517,0.19750571127380612,0.18464418345257166,0.2562966236878503,0.26497857558932403,0.4877168021489324,0.4448031855219299
23,0.0003,0.8030771255493164,0.8260700941085816,0.31106329371475816,0.2614785279229161,0.19714954643352237,0.16005122158322382,0.2696604675723651,0.2093572254360284,0.5039519835740807,0.36641940147538754
24,0.0003,0.800628742149898,0.8672792514165243,0.3238735549576466,0.1703446914086233,0.20792110803805922,0.09478158196174281,0.284446724738913,0.11513314872456627,0.5509234043540842,0.6163785014821116
25,0.0003,0.806039844240461,0.7972251415252686,0.2617102757883837,0.31281349599039887,0.16368818378396813,0.19318934625407405,0.2360400257687636,0.29138859782216414,0.5143107363832912,0.456025953550814
26,0.0003,0.7837657775197711,0.7936280449231465,0.32027536796289874,0.31444719598734244,0.20287282697434286,0.19331493900278313,0.27015739241369807,0.25202044683129493,0.5820875038520525,0.6133313447553074
27,0.0003,0.7867913586752755,0.7964133659998576,0.3030691412352235,0.2773574863479589,0.19354329600939763,0.16812841267166084,0.2719450168266328,0.2604172935873474,0.4919042506334572,0.40025048364087595
28,0.0003,0.7819273625101362,0.7954338550567627,0.29416117514138274,0.31013030619478327,0.18550183482923185,0.1859227132571063,0.25769787254211857,0.32957112967062335,0.5373883368592393,0.48462732748472526
29,0.0003,0.7788419042314801,0.7780480662981669,0.31152597033627305,0.3103414900196417,0.1992496216324584,0.18849858811214176,0.2857313936582545,0.26146680522366356,0.5328036060300578,0.5434250853914208
30,0.0003,0.7711024693080357,0.7899805386861165,0.32442952951522963,0.22352563527711553,0.2081209288301133,0.12778017446479736,0.28053988257115114,0.3451922409993607,0.5334879286255324,0.36031575015770834
31,0.0003,0.7555859361376082,0.7775404771169027,0.3345800891609529,0.3020565147838886,0.21609142333893144,0.184598482398672,0.29413974039732277,0.24151594969728668,0.5706198533128928,0.47944550384227674
32,0.0003,0.7518949219158717,0.7906463940938314,0.32921878626811474,0.2583974870392496,0.2117334136090965,0.15150636032017212,0.28357206389001954,0.31353876782621554,0.619452913526638,0.41620767359283267
33,0.00015,0.7567737817764282,0.7806548794110616,0.3694866392261385,0.27283191497111103,0.24279776996004238,0.16019731737143938,0.3321079693234328,0.3126592919904096,0.5647822289971672,0.4574059418190853
34,0.00015,0.7382549388068063,0.77718612353007,0.3586145764455197,0.31485498090314584,0.2373548461012395,0.1892283011482562,0.3023145619824819,0.3445542676174256,0.6356847976345998,0.3818881432194679
35,0.00015,0.7394781027521405,0.772072720527649,0.3800584018591811,0.2724929925724605,0.24950794979795665,0.16347949390282143,0.3192514539322769,0.2201190218091961,0.6436991878585078,0.48966269085500463
36,0.00015,0.7376268812588282,0.7719414432843527,0.3632158416030097,0.30049598876277067,0.2430464684499977,0.18085636011019304,0.31832067055141644,0.2616998197682813,0.5811486267754689,0.4985673394631973
37,0.00015,0.7249816928591047,0.7907099405924479,0.39871259037629136,0.25736206625408026,0.26869174838809157,0.15030611678178976,0.33985897725811376,0.29247742856097225,0.6661770561263628,0.28847373672095933
38,0.00015,0.7346122792788914,0.7626063863436381,0.3754498288037584,0.3001853852886613,0.24822688768159834,0.1821986240039136,0.318059047827694,0.23773521135542713,0.6083978892766024,0.5056859258804968
