epoch,lr,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,train_precision,val_precision,train_recall,val_recall,train_dice_c1,val_dice_c1,train_iou_c1,val_iou_c1,train_recall_c1,val_recall_c1,train_precision_c1,val_precision_c1,train_dice_c2,val_dice_c2,train_iou_c2,val_iou_c2,train_recall_c2,val_recall_c2,train_precision_c2,val_precision_c2,train_dice_c3,val_dice_c3,train_iou_c3,val_iou_c3,train_recall_c3,val_recall_c3,train_precision_c3,val_precision_c3
1,0.0007,1.057739438329424,1.1086853265762329,0.09139183586637835,0.0004908191662075331,0.049258173739761615,0.00024563563812707225,0.07736296368308358,0.0002456368938435169,0.2808590165454299,0.26519489479039254,0.12183475131077441,0.0,0.06566042549995799,0.0,0.19255798093065288,0.0,0.12374914242677938,0.0,0.1287140683645127,0.0,0.07011741130955554,0.0,0.27776557653274436,0.0,0.09596100627195026,0.0,0.02362668792384797,0.0014724574986225989,0.011996684409771346,0.0007369069143812167,0.3722534921728925,0.7955846843711778,0.012378742350521122,0.0007369106815305508
2,0.0007,0.9986604877880642,1.0653858423233031,0.15967738274096324,0.0005675461409085105,0.09122704895232273,0.0002840753689781128,0.10940512472436725,0.0002849205518940807,0.4275810136931887,0.07046107853258436,0.2214485261141757,0.0,0.12664553417015853,0.0,0.42213364829548033,0.0,0.15736452550226052,0.0,0.2400254633735465,0.0,0.13817096870032758,0.0,0.5207398561394928,0.0,0.16180940500358246,0.0,0.017558158735167632,0.0017026384227255313,0.008864643986482089,0.0008522261069343384,0.3398695366445931,0.2113832355977531,0.009041443667258753,0.000854761655682242
3,0.0007,0.9692391412598746,1.0067265510559082,0.2574626340731586,0.0475639539049513,0.1579055059677219,0.024942151404831022,0.205170313915995,0.028861083761135952,0.45999323807119513,0.38517631658621887,0.312428602377684,0.016279803990773587,0.18606814572797353,0.008207234856915073,0.38220665947876864,0.015126214105299306,0.2733151171536868,0.01840388725578462,0.41785937254689104,0.10514030290618587,0.2659905135643106,0.0558400343355525,0.677995531184062,0.7082537187524678,0.3194079828697885,0.057275115653077885,0.042099927294900905,0.02127175481789445,0.021657858610881542,0.010779185022025505,0.31977752355075484,0.43214901690088947,0.022787841724509657,0.01090424837454536
4,0.0007,0.9469503777367728,0.9441611409187317,0.2403842390346779,0.13171993988726843,0.14720934996596918,0.07322036032694454,0.18804952396405963,0.08318503236424228,0.5541798097242677,0.591881949195529,0.2832851369893673,0.13896121333630676,0.16780498808275982,0.07508028014619493,0.3893694103048965,0.2618880608176076,0.24098358091298602,0.09962415711516978,0.3931632210379634,0.23777830853416185,0.25082726999426225,0.1352633834370265,0.6640727880793247,0.7827470934289688,0.2994378633032658,0.1406032699143959,0.04470435907670296,0.01842029779133665,0.022995791820885562,0.0093174173976122,0.6090972307885819,0.7310106933400103,0.023727127675927096,0.00932767006316119
5,0.0007,0.9184485980442592,0.9096252202987671,0.30635131731431403,0.20312309013091,0.19554883558317557,0.1195734095905845,0.23895389920075405,0.13066159110196823,0.6434458725032087,0.663803658770519,0.419252852627148,0.26435031085781385,0.2671817573910031,0.15472851588582504,0.5835346172975577,0.5778358598509041,0.3378919158879287,0.17666348612257637,0.44718385804799043,0.32336443959199035,0.2922924640794964,0.19301590551470943,0.6593342459317602,0.7827368963869407,0.35149797057767973,0.2043049506212356,0.05261724126780359,0.02165451994292589,0.027172285279027267,0.010975807371219054,0.6874687542803085,0.6308382200737123,0.02747181113665364,0.011016336562092728
6,0.0007,0.8972543341772897,0.8819260954856872,0.3478542528284261,0.2601533974772696,0.23036927586355266,0.16152837365832556,0.28740617511141014,0.18824193629736985,0.6610309864482924,0.6865817007913592,0.45848814232833207,0.4130162238077723,0.30306241663123057,0.266878624431325,0.648365747137399,0.5920273232954096,0.3608224560540708,0.3323020363193709,0.5120415547232948,0.33288145210276004,0.3500222134616116,0.20004369396684277,0.6070424646966295,0.746089631444041,0.4625054393063814,0.21471851600732297,0.07303306143365135,0.03456251652127655,0.03802319749781581,0.017662802576808904,0.7276847475108481,0.721628147634627,0.038890629973778026,0.0177052565654157
7,0.0007,0.8856306757245745,0.8684983611106872,0.3770179182243242,0.26034018187627295,0.2560522947855676,0.15981238364273906,0.3164700324984911,0.18850171947978273,0.6441673624952232,0.6463814328226397,0.5365521350057814,0.38954035160831424,0.37232985887327763,0.24726646725824536,0.6786264868912661,0.5512081603390525,0.45903098677569676,0.31775384088022146,0.5294311890597062,0.34315895930728113,0.36195092544529367,0.20725767420216837,0.6379496070963213,0.7507509018426892,0.45590053615159676,0.22263847836178383,0.06507043060748498,0.048321234713223686,0.03387610003813159,0.0249130094678034,0.615925993498082,0.6371852362861774,0.034478574568180015,0.025112839197342827
8,0.0007,0.8669236183166504,0.8829416632652283,0.3471004236738634,0.20451828395665297,0.23208725792031634,0.11754750283468436,0.28324125048000565,0.1511546084192719,0.6856637765582381,0.5703332504562919,0.36560829140863627,0.2467385267478516,0.23516138541413345,0.14175633215121614,0.5694271349741356,0.29838849284311836,0.2825104457717198,0.23504535129742452,0.5567933815595316,0.2968871662588368,0.3965412777356043,0.17432360317873827,0.6549280210168988,0.820131092953465,0.5015276451203379,0.18126109159155115,0.11889959805342219,0.06992915886327052,0.06455911061121124,0.036562573174098695,0.8326361736836796,0.5924801655722922,0.06568566054795907,0.037157382368839996
9,0.0007,0.8676303216389247,0.8731690406799316,0.322038104630949,0.23643544623517201,0.2053853574523633,0.14315201342834324,0.26393428157733567,0.24221705960120074,0.6506692925302788,0.6081816886973194,0.38000746974474314,0.4112247266528773,0.23565337333706998,0.26015247892438126,0.4822437160891791,0.334361770899946,0.33262457250879035,0.5546199009783594,0.4916647294942566,0.2601702942783754,0.3299123449387869,0.14988785560430415,0.6857158766441759,0.9023944024724113,0.40792408574541283,0.15244394521992297,0.09444211465384751,0.03791131777426326,0.05059035408123291,0.019415705756344357,0.7840482848574818,0.5877888927196007,0.05125418647780398,0.019587332605319894
10,0.0007,0.866262800352914,0.875343406200409,0.3638772314014401,0.1987893714396203,0.24175596967370047,0.11411549603768158,0.3153250983129498,0.1490758844282247,0.6361311597311368,0.5806505092919024,0.46516673666151,0.2673246070549364,0.31378656681246986,0.15611988958312842,0.5214122477902409,0.3122043503906929,0.45075610979757774,0.2574829692749129,0.5048826653229629,0.26211402104065573,0.3464467348710509,0.1513008801774643,0.6573180006483881,0.8880431416124434,0.42655383012336506,0.15407647287140275,0.12158229221984744,0.06692948622326872,0.06503460733758067,0.03492571835245198,0.7296632307547813,0.541704035872571,0.0686653550179065,0.0356682111383584
